Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
quantity_level=1vs1 & quantity_level=1vs5,Interaction,0.06554002246486479,0.06198356259570498,0.06909820692586519,0.003557322165080104,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs5,0.004772052788576406
person2_gender=male & person3_gender=female,Interaction,0.0630991719289142,0.0611590630610639,0.06494994839379381,0.001895442666364957,Synergy (+),POS,person2_gender=male,person3_gender=female,0.004594331341916459
quantity_level=1vs10 & person2_profession=low,Interaction,0.06172876596185894,0.05964665228311318,0.0640677913284005,0.00221056952264366,Interference (-),NEG,quantity_level=1vs10,person2_profession=low,0.0044945503322277045
quantity_level=1vs1 & person2_color=black,Interaction,0.06079170889590161,0.055836405622710084,0.06603463493977191,0.005099114658530912,Synergy (+),POS,quantity_level=1vs1,person2_color=black,0.004426322009799922
person2_profession=low & person3_profession=low,Interaction,0.056557086225328436,0.05480870965225133,0.05840486293583579,0.0017980766417922296,Synergy (+),POS,person2_profession=low,person3_profession=low,0.0041179937217754444
quantity_level=1vs1 & person3_color=black,Interaction,0.05651747135314984,0.05056011206434525,0.06244558472450907,0.00594273633008191,Synergy (+),POS,quantity_level=1vs1,person3_color=black,0.00411510931230869
quantity_level=1vs10 & person3_color=white,Interaction,0.05311949277993401,0.05103785849525789,0.055270128225660325,0.0021161348652012184,Interference (-),NEG,quantity_level=1vs10,person3_color=white,0.0038676981501515467
quantity_level=1vs10,Main Effect,0.05053078018640035,0.04802933305079381,0.053376369659193665,0.002673518304199929,Negative (Promotes 0),NEG,quantity_level=1vs10,-,0.003679210678127598
person2_profession=low & person3_profession=high,Interaction,0.049985242253042975,0.04864985359897619,0.05138165797848298,0.0013659021897533957,Synergy (+),POS,person2_profession=low,person3_profession=high,0.003639489364062625
person2_profession=high,Main Effect,0.0479470228838248,0.045699961961553875,0.05018740396163817,0.0022437210000421474,Negative (Promotes 0),NEG,person2_profession=high,-,0.0034910840071706237
person3_profession=low,Main Effect,0.047510431560705106,0.04494504040044976,0.05007913795677145,0.0025670487781608436,Positive (Promotes 1),POS,person3_profession=low,-,0.003459295235018791
person1_color=white & person3_gender=male,Interaction,0.04712140172034229,0.04457201214230502,0.04967498400831744,0.0025514859330062097,Interference (-),NEG,person1_color=white,person3_gender=male,0.003430969475204808
person3_profession=high,Main Effect,0.046945447662692846,0.04464825725433921,0.04927020208595569,0.00231097241580824,Negative (Promotes 0),NEG,person3_profession=high,-,0.003418158035417501
person3_color=white & person3_gender=male,Interaction,0.045726081660341915,0.04339898734081695,0.04813969442809384,0.0023703535436384454,Synergy (+),POS,person3_color=white,person3_gender=male,0.0033293744385712617
person1_color=black & person2_color=white,Interaction,0.04565115247700536,0.04291267863153027,0.048301058617100955,0.002694189992785343,Interference (-),NEG,person1_color=black,person2_color=white,0.003323918748981307
quantity_level=1vs10 & person3_color=black,Interaction,0.04437790294282231,0.042788986814588786,0.04588046648392604,0.0015457398346686267,Interference (-),NEG,quantity_level=1vs10,person3_color=black,0.0032312118233251692
person1_color=black & person2_color=black,Interaction,0.042182280184431944,0.039962374415399016,0.04453366304390401,0.0022856443142524954,Synergy (+),POS,person1_color=black,person2_color=black,0.003071345724523395
person1_color=black & person1_gender=female,Interaction,0.04131140623971859,0.03944057627212629,0.04327569428229823,0.001917559005085969,Interference (-),NEG,person1_color=black,person1_gender=female,0.003007936279728105
person1_profession=high & person3_profession=low,Interaction,0.04082070877157947,0.039164655648330333,0.04244502341677341,0.0016401838842215397,Interference (-),NEG,person1_profession=high,person3_profession=low,0.0029722079700157306
person2_profession=low,Main Effect,0.04057855947669198,0.038619107819429385,0.042419608915497245,0.00190025054803393,Positive (Promotes 1),POS,person2_profession=low,-,0.00295457677041492
person2_profession=high & person3_gender=male,Interaction,0.03880199777547675,0.036802863476960046,0.040814121921863115,0.0020056292224515347,Synergy (+),POS,person2_profession=high,person3_gender=male,0.002825223042699812
